Customer_ID,Age,Gender,Location,Browsing_History,Purchase_History,Customer_Segment,Avg_Order_Value,Holiday,Season,Unnamed: 10,income
C1074,21,Male,Mumbai,"['Books', 'Home Decor', 'Beauty']","['Biography', 'Wall Art', 'Lipstick']",New Visitor,3338.02,Yes,Winter,,17218
C1075,49,Female,Kolkata,['Books'],['Non-fiction'],Occasional Shopper,3612.41,Yes,Autumn,,72222
C1076,35,Female,Chennai,"['Electronics', 'Home Decor', 'Beauty']","['Laptop', 'Cushions', 'Lipstick']",New Visitor,2660.1,No,Spring,,74075
C1077,40,Female,Bangalore,['Fitness'],['Resistance Bands'],Frequent Buyer,878.6,Yes,Autumn,,61428
C1078,60,Other,Mumbai,"['Fitness', 'Home Decor']","['Dumbbells', 'Cushions']",New Visitor,914.2,Yes,Winter,,33387
C1079,39,Male,Mumbai,['Fitness'],['Yoga Mat'],Frequent Buyer,1778.57,No,Winter,,48339
C1080,28,Female,Mumbai,"['Fashion', 'Books']","['T-shirt', 'Fiction']",New Visitor,4708.2,No,Spring,,55197
C1081,37,Other,Kolkata,"['Books', 'Home Decor']","['Comics', 'Curtains']",Occasional Shopper,903.16,No,Winter,,67950
C1082,57,Male,Bangalore,"['Electronics', 'Fashion', 'Books']","['Laptop', 'T-shirt', 'Biography']",New Visitor,2844.61,Yes,Autumn,,49113
C1083,38,Female,Bangalore,"['Books', 'Beauty']","['Non-fiction', 'Perfume']",New Visitor,4462.32,Yes,Autumn,,75912
C1084,51,Male,Chennai,"['Fitness', 'Beauty', 'Home Decor']","['Resistance Bands', 'Lipstick', 'Wall Art']",New Visitor,3781.14,Yes,Spring,,56411
C1085,47,Other,Delhi,['Home Decor'],['Curtains'],Occasional Shopper,4834.07,No,Summer,,64886
C1086,52,Other,Chennai,"['Electronics', 'Home Decor']","['Laptop', 'Curtains']",New Visitor,865.55,No,Summer,,58397
C1087,50,Female,Bangalore,['Fitness'],['Treadmill'],Occasional Shopper,637.09,No,Winter,,53787
C1088,49,Other,Delhi,"['Electronics', 'Beauty']","['Smartphone', 'Moisturizer']",New Visitor,2745.8,Yes,Summer,,55796
C1089,25,Other,Kolkata,['Fitness'],['Dumbbells'],Occasional Shopper,2536.47,No,Autumn,,52246
C1090,38,Female,Kolkata,['Fitness'],['Treadmill'],Occasional Shopper,1691.33,Yes,Summer,,69453
C1091,54,Male,Delhi,"['Home Decor', 'Books']","['Cushions', 'Biography']",New Visitor,1720.0,No,Winter,,61797
C1092,37,Female,Mumbai,['Beauty'],['Moisturizer'],New Visitor,2432.5,No,Winter,,64545
C1093,34,Male,Kolkata,"['Fitness', 'Beauty']","['Dumbbells', 'Foundation']",Occasional Shopper,3672.78,No,Winter,,74208
C1094,40,Male,Mumbai,"['Home Decor', 'Fashion']","['Cushions', 'Jacket']",Frequent Buyer,2600.54,No,Winter,,68633
C1095,33,Other,Kolkata,"['Home Decor', 'Electronics', 'Beauty']","['Cushions', 'Smartphone', 'Lipstick']",New Visitor,1892.74,No,Summer,,53824
C1096,36,Other,Mumbai,"['Fitness', 'Home Decor', 'Books']","['Treadmill', 'Cushions', 'Fiction']",Occasional Shopper,4601.7,Yes,Summer,,86612
C1097,23,Other,Bangalore,['Electronics'],['Smartwatch'],Frequent Buyer,1198.51,No,Autumn,,44730
C1098,57,Female,Bangalore,['Fitness'],['Treadmill'],New Visitor,3728.63,Yes,Spring,,42886
C1099,46,Other,Bangalore,['Books'],['Fiction'],Frequent Buyer,3188.38,No,Summer,,61229
C1100,48,Other,Delhi,"['Fashion', 'Home Decor', 'Electronics']","['T-shirt', 'Cushions', 'Headphones']",New Visitor,4480.95,No,Summer,,53834
C1101,24,Other,Bangalore,['Home Decor'],['Lamp'],New Visitor,2928.39,Yes,Winter,,46381
C1102,27,Other,Bangalore,"['Fashion', 'Electronics']","['Jeans', 'Laptop']",Frequent Buyer,3267.28,Yes,Spring,,49081
C1103,24,Female,Mumbai,['Electronics'],['Headphones'],New Visitor,4875.97,Yes,Summer,,49544
C1104,44,Other,Mumbai,['Books'],['Fiction'],New Visitor,3358.95,Yes,Spring,,74234
C1105,37,Female,Kolkata,['Beauty'],['Moisturizer'],Occasional Shopper,675.7,No,Spring,,67198
C1106,18,Male,Mumbai,"['Beauty', 'Fitness', 'Books']","['Moisturizer', 'Treadmill', 'Fiction']",Frequent Buyer,1033.88,Yes,Spring,,29337
C1107,22,Other,Mumbai,['Books'],['Comics'],New Visitor,3210.29,Yes,Summer,,50952
C1108,28,Female,Kolkata,"['Beauty', 'Electronics', 'Home Decor']","['Moisturizer', 'Smartphone', 'Cushions']",New Visitor,4280.95,Yes,Autumn,,57730
C1109,39,Other,Delhi,['Fashion'],['Jacket'],New Visitor,707.86,Yes,Winter,,62809
C1110,30,Other,Mumbai,['Home Decor'],['Wall Art'],New Visitor,3680.83,Yes,Winter,,54926
C1111,51,Male,Delhi,['Electronics'],['Smartphone'],New Visitor,2664.89,No,Summer,,59216
C1112,41,Other,Bangalore,['Beauty'],['Foundation'],New Visitor,1538.86,Yes,Spring,,68124
C1113,46,Female,Kolkata,"['Electronics', 'Beauty']","['Headphones', 'Foundation']",Occasional Shopper,689.17,Yes,Winter,,72364
C1114,55,Other,Bangalore,"['Electronics', 'Fitness', 'Beauty']","['Smartwatch', 'Yoga Mat', 'Lipstick']",Occasional Shopper,2889.01,Yes,Summer,,56681
C1115,50,Female,Chennai,"['Beauty', 'Fashion', 'Home Decor']","['Foundation', 'Jacket', 'Wall Art']",New Visitor,4846.36,No,Winter,,72276
C1116,52,Other,Kolkata,['Electronics'],['Smartwatch'],Occasional Shopper,4115.35,No,Autumn,,64818
C1117,58,Other,Kolkata,"['Electronics', 'Fashion']","['Headphones', 'Jacket']",Frequent Buyer,3162.35,No,Summer,,33554
C1118,44,Male,Chennai,"['Fashion', 'Books', 'Beauty']","['T-shirt', 'Non-fiction', 'Lipstick']",New Visitor,2288.04,No,Summer,,82843
C1119,44,Female,Kolkata,"['Books', 'Beauty', 'Home Decor']","['Non-fiction', 'Moisturizer', 'Curtains']",New Visitor,3693.36,No,Summer,,86515
C1120,53,Male,Delhi,"['Electronics', 'Fitness']","['Laptop', 'Resistance Bands']",Frequent Buyer,4087.59,Yes,Autumn,,72206
C1121,45,Other,Mumbai,"['Electronics', 'Fashion', 'Home Decor']","['Smartphone', 'Shoes', 'Curtains']",Frequent Buyer,1619.37,No,Spring,,57961
C1122,39,Male,Bangalore,['Home Decor'],['Lamp'],Occasional Shopper,4095.29,No,Summer,,97386
C1123,23,Male,Bangalore,"['Books', 'Electronics', 'Home Decor']","['Comics', 'Smartphone', 'Curtains']",New Visitor,854.07,No,Winter,,33041
C1124,21,Female,Delhi,['Books'],['Fiction'],Frequent Buyer,811.15,No,Winter,,25362
C1125,31,Female,Bangalore,"['Books', 'Home Decor']","['Comics', 'Cushions']",Occasional Shopper,1277.83,Yes,Summer,,86900
C1126,45,Male,Delhi,"['Books', 'Fitness', 'Fashion']","['Biography', 'Dumbbells', 'T-shirt']",Occasional Shopper,3129.06,No,Winter,,63571
C1127,23,Female,Delhi,"['Books', 'Beauty']","['Comics', 'Foundation']",New Visitor,2704.95,No,Summer,,44213
C1128,22,Other,Mumbai,"['Fashion', 'Beauty', 'Electronics']","['Jacket', 'Moisturizer', 'Smartwatch']",New Visitor,821.95,No,Autumn,,41910
C1129,21,Female,Mumbai,['Fitness'],['Resistance Bands'],Frequent Buyer,4417.75,Yes,Autumn,,28218
C1130,31,Female,Delhi,['Beauty'],['Moisturizer'],New Visitor,1728.21,No,Winter,,51923
C1131,53,Male,Bangalore,['Books'],['Biography'],New Visitor,2347.31,No,Spring,,57738
C1132,57,Female,Kolkata,"['Beauty', 'Electronics', 'Fitness']","['Lipstick', 'Headphones', 'Yoga Mat']",New Visitor,3380.34,No,Spring,,35146
C1133,29,Other,Delhi,['Home Decor'],['Curtains'],Frequent Buyer,1020.17,Yes,Winter,,47593
C1134,52,Male,Kolkata,"['Beauty', 'Electronics']","['Moisturizer', 'Smartphone']",Occasional Shopper,4454.79,No,Summer,,57415
C1135,19,Other,Mumbai,['Home Decor'],['Curtains'],Frequent Buyer,3528.76,No,Summer,,34718
C1136,32,Other,Mumbai,"['Fashion', 'Electronics', 'Fitness']","['Jeans', 'Headphones', 'Resistance Bands']",New Visitor,4546.74,No,Summer,,72378
C1137,60,Male,Chennai,"['Fashion', 'Books']","['T-shirt', 'Biography']",Occasional Shopper,4532.0,No,Spring,,41672
C1138,55,Other,Delhi,"['Books', 'Electronics']","['Biography', 'Headphones']",Occasional Shopper,4082.22,Yes,Spring,,71177
C1139,35,Other,Mumbai,['Fashion'],['T-shirt'],New Visitor,1874.77,No,Spring,,56418
C1140,55,Male,Bangalore,"['Home Decor', 'Fitness', 'Electronics']","['Lamp', 'Resistance Bands', 'Laptop']",New Visitor,4744.3,Yes,Summer,,68510
C1141,39,Other,Chennai,"['Electronics', 'Home Decor', 'Books']","['Headphones', 'Cushions', 'Comics']",Occasional Shopper,4656.7,No,Summer,,99589
C1142,37,Female,Chennai,"['Fashion', 'Fitness']","['Jacket', 'Yoga Mat']",Occasional Shopper,895.61,No,Autumn,,48915
C1143,49,Male,Kolkata,"['Books', 'Fashion', 'Home Decor']","['Non-fiction', 'Jacket', 'Lamp']",Occasional Shopper,2195.99,Yes,Winter,,59889
C1144,40,Male,Bangalore,['Fitness'],['Yoga Mat'],New Visitor,1409.14,No,Spring,,69576
C1145,36,Female,Delhi,['Electronics'],['Smartphone'],New Visitor,4817.15,Yes,Summer,,93857
C1146,36,Female,Chennai,"['Fashion', 'Electronics', 'Books']","['T-shirt', 'Smartwatch', 'Non-fiction']",Occasional Shopper,2311.17,Yes,Winter,,58214
C1147,18,Other,Mumbai,"['Beauty', 'Fashion', 'Fitness']","['Lipstick', 'T-shirt', 'Yoga Mat']",Frequent Buyer,1348.41,No,Spring,,18842
C1148,50,Male,Bangalore,"['Beauty', 'Fashion', 'Home Decor']","['Moisturizer', 'Jeans', 'Cushions']",Occasional Shopper,1486.47,No,Summer,,59165
C1149,49,Female,Delhi,"['Books', 'Fashion']","['Biography', 'Jacket']",New Visitor,513.63,No,Summer,,53403
C1150,56,Other,Delhi,"['Beauty', 'Home Decor']","['Lipstick', 'Lamp']",Occasional Shopper,1924.21,No,Winter,,39308
C1151,54,Other,Chennai,"['Electronics', 'Beauty', 'Fitness']","['Smartphone', 'Perfume', 'Resistance Bands']",New Visitor,1097.17,No,Winter,,53977
C1152,39,Male,Mumbai,"['Books', 'Electronics', 'Home Decor']","['Comics', 'Smartwatch', 'Wall Art']",Frequent Buyer,873.0,Yes,Summer,,57781
C1153,43,Male,Delhi,"['Fashion', 'Home Decor', 'Fitness']","['Shoes', 'Cushions', 'Treadmill']",New Visitor,1788.32,No,Spring,,70825
C1154,36,Female,Bangalore,"['Fitness', 'Home Decor', 'Electronics']","['Dumbbells', 'Cushions', 'Smartphone']",New Visitor,2714.16,Yes,Winter,,76721
C1155,56,Other,Mumbai,"['Home Decor', 'Fashion', 'Electronics']","['Cushions', 'Jeans', 'Smartphone']",Occasional Shopper,1022.44,No,Winter,,31409
C1156,28,Other,Chennai,['Electronics'],['Laptop'],Occasional Shopper,2329.96,Yes,Autumn,,62399
C1157,36,Other,Bangalore,"['Electronics', 'Beauty']","['Laptop', 'Foundation']",Occasional Shopper,4999.31,Yes,Summer,,90951
C1158,56,Female,Chennai,['Fashion'],['T-shirt'],New Visitor,731.8,Yes,Spring,,28176
C1159,44,Other,Mumbai,"['Beauty', 'Electronics', 'Books']","['Foundation', 'Smartphone', 'Fiction']",Frequent Buyer,1840.36,Yes,Winter,,75226
C1160,24,Female,Delhi,"['Books', 'Fitness']","['Non-fiction', 'Treadmill']",Occasional Shopper,1329.86,Yes,Spring,,37490
C1161,19,Male,Mumbai,['Fashion'],['Jacket'],New Visitor,4802.74,Yes,Autumn,,34344
C1162,50,Female,Mumbai,"['Fashion', 'Electronics']","['T-shirt', 'Smartphone']",New Visitor,732.86,No,Summer,,60645
C1163,29,Male,Mumbai,['Fashion'],['Jacket'],New Visitor,4306.68,Yes,Winter,,49053
C1164,27,Other,Delhi,['Electronics'],['Headphones'],Occasional Shopper,4092.64,No,Spring,,62524
C1165,42,Female,Bangalore,['Home Decor'],['Cushions'],New Visitor,932.38,Yes,Spring,,68325
C1166,31,Male,Kolkata,"['Books', 'Fitness', 'Electronics']","['Comics', 'Treadmill', 'Headphones']",Occasional Shopper,1933.74,No,Spring,,77158
C1167,22,Male,Kolkata,"['Electronics', 'Beauty', 'Fitness']","['Smartphone', 'Perfume', 'Treadmill']",New Visitor,3967.92,No,Winter,,67185
C1168,58,Other,Mumbai,['Electronics'],['Smartphone'],Frequent Buyer,3729.07,No,Winter,,40827
C1169,43,Female,Mumbai,"['Home Decor', 'Fitness']","['Wall Art', 'Yoga Mat']",New Visitor,1485.71,No,Spring,,59361
C1170,54,Female,Bangalore,"['Fitness', 'Home Decor', 'Books']","['Dumbbells', 'Lamp', 'Fiction']",Occasional Shopper,1771.49,No,Winter,,46948
C1171,22,Other,Bangalore,"['Electronics', 'Books', 'Fashion']","['Smartwatch', 'Comics', 'T-shirt']",Occasional Shopper,3775.28,Yes,Spring,,45311
C1172,22,Male,Delhi,['Fitness'],['Dumbbells'],Frequent Buyer,4392.68,Yes,Winter,,53168
C1173,19,Other,Mumbai,['Electronics'],['Smartphone'],Occasional Shopper,765.61,No,Spring,,23801
C1174,58,Female,Chennai,"['Fitness', 'Books']","['Yoga Mat', 'Comics']",Occasional Shopper,4122.12,No,Spring,,45374
C1175,20,Male,Kolkata,"['Fashion', 'Home Decor']","['Jacket', 'Wall Art']",Occasional Shopper,1297.55,Yes,Autumn,,26981
C1176,53,Female,Kolkata,"['Books', 'Fashion', 'Fitness']","['Biography', 'Shoes', 'Dumbbells']",Frequent Buyer,1502.71,No,Summer,,53665
C1177,36,Other,Delhi,"['Home Decor', 'Beauty', 'Electronics']","['Wall Art', 'Foundation', 'Headphones']",Frequent Buyer,2101.66,Yes,Winter,,85783
C1178,30,Other,Kolkata,['Books'],['Biography'],Frequent Buyer,2477.44,No,Winter,,68284
C1179,50,Female,Bangalore,"['Home Decor', 'Fitness', 'Books']","['Wall Art', 'Treadmill', 'Fiction']",Frequent Buyer,926.42,No,Spring,,73906
C1180,46,Female,Kolkata,"['Books', 'Electronics', 'Fitness']","['Fiction', 'Headphones', 'Yoga Mat']",New Visitor,2049.9,Yes,Autumn,,64125
C1181,28,Male,Chennai,['Home Decor'],['Wall Art'],New Visitor,3817.02,Yes,Spring,,47021
C1182,50,Other,Bangalore,['Electronics'],['Smartwatch'],Frequent Buyer,1431.02,Yes,Winter,,45857
C1183,33,Other,Kolkata,"['Fashion', 'Beauty']","['Jacket', 'Foundation']",New Visitor,3181.99,Yes,Autumn,,80867
C1184,25,Male,Mumbai,"['Fitness', 'Home Decor']","['Dumbbells', 'Wall Art']",Occasional Shopper,2276.33,No,Summer,,46005
C1185,43,Male,Kolkata,"['Books', 'Beauty', 'Home Decor']","['Biography', 'Lipstick', 'Wall Art']",New Visitor,4149.93,Yes,Spring,,88844
C1186,47,Male,Kolkata,['Beauty'],['Perfume'],New Visitor,2881.3,Yes,Autumn,,66260
C1187,22,Female,Chennai,"['Fitness', 'Fashion', 'Electronics']","['Dumbbells', 'T-shirt', 'Smartwatch']",Frequent Buyer,4537.95,No,Spring,,53705
C1188,43,Male,Kolkata,"['Fitness', 'Books']","['Yoga Mat', 'Biography']",New Visitor,4636.1,No,Winter,,72178
C1189,40,Female,Kolkata,"['Fashion', 'Beauty']","['Shoes', 'Moisturizer']",Occasional Shopper,4215.35,Yes,Spring,,62592
C1190,37,Female,Delhi,"['Beauty', 'Fashion']","['Lipstick', 'Shoes']",New Visitor,1951.7,No,Winter,,65067
C1191,42,Male,Delhi,"['Fitness', 'Books', 'Beauty']","['Resistance Bands', 'Non-fiction', 'Foundation']",Occasional Shopper,3794.89,No,Autumn,,88758
C1192,34,Female,Kolkata,"['Home Decor', 'Electronics', 'Beauty']","['Cushions', 'Laptop', 'Lipstick']",New Visitor,2103.78,No,Summer,,72453
C1193,44,Female,Bangalore,"['Fitness', 'Beauty', 'Books']","['Treadmill', 'Moisturizer', 'Comics']",New Visitor,1634.68,No,Spring,,54849
C1194,35,Other,Mumbai,"['Home Decor', 'Beauty']","['Wall Art', 'Perfume']",Frequent Buyer,1083.56,No,Autumn,,66932
C1195,59,Other,Kolkata,"['Fitness', 'Fashion', 'Home Decor']","['Resistance Bands', 'T-shirt', 'Cushions']",Occasional Shopper,2149.96,No,Autumn,,39305
C1196,18,Male,Kolkata,"['Electronics', 'Fitness', 'Home Decor']","['Smartphone', 'Resistance Bands', 'Wall Art']",Occasional Shopper,1493.08,No,Summer,,20632
C1197,45,Female,Bangalore,"['Electronics', 'Fashion', 'Fitness']","['Smartwatch', 'T-shirt', 'Resistance Bands']",Occasional Shopper,3949.62,Yes,Summer,,80584
C1198,50,Male,Kolkata,['Fitness'],['Dumbbells'],Frequent Buyer,2054.58,Yes,Spring,,57784
C1199,30,Female,Bangalore,['Fitness'],['Yoga Mat'],Occasional Shopper,1562.61,Yes,Winter,,55126
C1200,58,Male,Bangalore,"['Home Decor', 'Books']","['Cushions', 'Biography']",Occasional Shopper,562.34,Yes,Summer,,34652
C1201,30,Male,Bangalore,"['Fitness', 'Fashion', 'Home Decor']","['Yoga Mat', 'Jeans', 'Lamp']",Frequent Buyer,3649.46,Yes,Spring,,83441
C1202,54,Male,Delhi,['Home Decor'],['Wall Art'],Occasional Shopper,2638.41,Yes,Spring,,67261
